Serial Number,College,Address,Contact Number,Pricipal ,Math HOD
1,Bangalore City College(B.Sc/M.Sc),"#160, Chelekere Main Road, Banaswadi Outer Ring Road, Kalyanagar Post, Behind BTS Bus Depot, Bangalore - 560043",9900568523 / 9341349598,,Dr. Balagundan
2,Bishop Cotton Women's Christian College(B.Sc),"#19, 3rd Cross, CSI Compound, Mission Road, Bangalore - 560027",080-22212933 / 080-22129880,Prof. Esther Prasanakumar,Dr. G Muniraja(Doubt)
3,Christ University(B.Sc/M.Sc),"Hosur Road, Bangalore - 560029",080-40129100 / 9600,,Dr. Joseph TV
4,Indian Academy Degree College(B.Sc/M.Sc),"Hennur Cross, Hennur Main Road, Kalyan Nagar, Bangalore - 560043",9901110757,Dr. E Jerome Xavier,
5,Acharya Patshala College of Arts & Science(B.Sc),"Near NR Colony bus stop, behind Ganesh temple, Narasimha Raja Colony, Bangalore - 560019",080-26603192,,
6,Acharya Institute of Graduate Studies(B.Sc/M.Sc),"Acharya Dr. Sarvepalli Radhakrishnan Road, Acharya PO, Bangalore - 560107",080-22555555 / 080-23700242,Prof. Gurunath Rao Vaidya,Prof. Gurunath Rao Vaidya
7,Al Ameen Degree College(B.Sc),"Hosur Road, Near Lalbagh Road Main Gate, Bangalore - 560027",080-22222402,Dr. BM Zakir,Prof. Khaleel Mirza
8,BMS College for Women(B.Sc/M.Sc),"Bugle Rock Road, Gandhi Bazaar, Basavanagudi, Bangalore - 560004",080-26601836,,Dr. Sujatha
9,Baldwin Methodist College(B.Sc),"#14, Hosur Road, Richmond Town, Bangalore - 560025",080-41523561,Mr. Joshua Samuel,
10,Vivekananda Degree College(B.Sc),"Dr. Rajkumar Road, Rajajinagar 2nd Stage, Bangalore - 560055",080-23579511 / 080-23577334,Prof. Venkateshappa M,Prof. Venkateshappa M
11,Seshadripuram First Grade College(B.Sc),"#26, Yelahanka New Town, Bangalore - 560064",080-22955369,Dr. SN Venkatesh,Mr. Ramesh TC
12,Sindhi College(B.Sc),"#33/2B, Kempapura, Hebbal, Bangalore - 560024",080-23637543 / 44,Dr. BS Srikanta,Prof. Roopa HB
13,St. Anne's First Grade College for Women(B.Sc),"#2, Miller Road, Bangalore - 560052",080-22383421,Dr. Sr. Aneecia,
14,St. Anne's Degree College for Women(B.Sc),"#23, Cambridge Road, Halasuru, Bangalore - 560008",080-25306814 / 080-25544454,Prof. Nisha Joseph Cyriac,
15,Indo Asian Academy Degree College(B.Sc),"#10, 4th 'D' Main, HRBR Layout 2nd Block, Kalyan Nagar, Bangalore - 560043",080-25429691 / 92,Prof. N Bharathi,
16,Jyothi Nivas College(B.Sc),"Hosur Road, Bangalore - 560095",080-25530137,Dr. Elizabeth,Mrs. Rani Titus
17,KLE Society's S Nijalingappa College(B.Sc),"#1040, 2nd Block, Rajajinagar, Bangalore - 560010",080-23526055 / 080-23325020,Dr. Sadananda Halageri,Mr. Chandrashekharappa AS
18,Kristu Jayanti College(B.Sc),"K Narayanapura, Kothanur(PO), Bangalore - 560077",080-28465611 / 080-28465770,Fr. Josekutti PD,
19,Mount Carmel College(B.Sc/M.Sc),"#58, Palace Road, Bangalore - 560052",080-22261759,,Dr. Hemalatha
20,"Sri Jagadguru Renukacharya College of Science, Arts & Commerce","#9, Race Course Road, Bangalore - 560009",080-22264952,Dr S Lokanatha,
21,Vijaya College(B.Sc/M.Sc),"RV Road, Basavanagudi, Bangalore - 560004",080-26933220 / 1,Prof. AR Ramesh Babu,
22,Surana College(B.Sc),"#16, South End, Bangalore - 560004",080-26642292,Dr. Shakuntala Samuelson,
23,National College(B.Sc),"Pampa Mahakavi Road, Basavanagudi, Bangalore - 560004",080-26674441,,Prof. A Anantha Rangan
24,Jain College(B.Sc),"Near Ravindra Kalakshetra, Sampangi Rama Nagar, Bangalore - 560002",080-43431000,,
25,Reva University(B.S/M.Sc Applied Math),"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore - 560064",080-66226622,,
26,St. Francis de Sales College(B.Sc),"Electronics City, Bangalore - 560100",080-27834611,,
27,"M.E.S College of Arts, Commerce & Science(B.Sc/M.Sc)","15th Cross, MPL Sastry Road, Malleshwaram, Bangalore - 560003",080-23341225 / 080-23347045,Dr. M Satyakrishna,
28,The Oxford College of Science(B.Sc/M.Sc),"#32, 17th B Main, Sector IV, HSR Layout, Bangalore - 560102",080-30266301 / 51,Dr. R Kavyashree,
